Cursor,Value,X,Y,Width,Height
0,A,3,123,21,26
1, ,17,123,7,26
2,p,23,123,19,26
3,e,35,123,19,26
4,s,47,123,18,26
5,q,58,123,19,26
6,u,70,123,19,26
7,i,82,123,12,26
8,s,87,123,18,26
9,a,98,123,19,26
10, ,110,123,7,26
11,i,116,123,12,26
12,n,121,123,19,26
13,v,133,123,18,26
14,e,144,123,19,26
15,s,156,123,18,26
16,t,167,123,13,26
17,i,173,123,12,26
18,g,178,123,19,26
19,o,190,123,19,26
20,u,202,123,19,26
21, ,214,123,7,26
22,o,220,123,19,26
23,s,232,123,18,26
24, ,243,123,7,26
25,r,249,123,14,26
26,i,256,123,12,26
27,s,261,123,18,26
28,c,272,123,18,26
29,o,283,123,19,26
30,s,295,123,18,26
31, ,306,123,7,26
32,d,312,123,19,26
33,e,324,123,19,26
34, ,336,123,7,26
35,e,342,123,19,26
36,s,354,123,18,26
37,t,365,123,13,26
38,u,371,123,19,26
39,d,383,123,19,26
40,a,395,123,19,26
41,n,407,123,19,26
42,t,419,123,13,26
43,e,425,123,19,26
44,s,437,123,18,26
45, ,448,123,7,26
46,d,454,123,19,26
47,e,466,123,19,26
48, ,478,123,7,26
49,e,484,123,19,26
50,n,496,123,19,26
51,s,508,123,18,26
52,i,519,123,12,26
53,n,524,123,19,26
54,o,536,123,19,26
55, ,548,123,7,26
56,f,554,123,13,26
57,u,560,123,19,26
58,n,572,123,19,26
59,d,584,123,19,26
60,a,596,123,19,26
61,m,608,123,25,26
62,e,625,123,19,26
63,n,637,123,19,26
64,t,649,123,13,26
65,a,655,123,19,26
66,l,667,123,12,26
67, ,672,123,7,26
68,r,678,123,14,26
69,e,685,123,19,26
70,p,697,123,19,26
71,e,709,123,19,26
72,t,721,123,13,26
73,i,727,123,12,26
74,r,732,123,14,26
75,e,739,123,19,26
76,m,751,123,25,26
77, ,768,123,7,26
78,u,774,123,19,26
79,m,786,123,25,26
80, ,803,123,7,26
81,o,809,123,19,26
82,u,821,123,19,26
83, ,833,123,7,26
84,m,839,123,25,26
85,a,856,123,19,26
86,i,868,123,12,26
87,s,873,123,18,26
88, ,884,123,7,26
89,a,890,123,19,26
90,n,902,123,19,26
91,o,914,123,19,26
92,s,926,123,18,26
93, ,937,123,7,26
94,e,943,123,19,26
95,s,955,123,18,26
96,c,966,123,18,26
97,o,977,123,19,26
98,l,989,123,12,26
99,a,994,123,19,26
100,r,1006,123,14,26
101,e,1013,123,19,26
102,s,1025,123,18,26
103,",",1036,123,13,26
104, ,1042,123,7,26
105,c,1048,123,18,26
106,o,1059,123,19,26
107,n,1071,123,19,26
108,s,1083,123,18,26
109,i,1094,123,12,26
110,d,1099,123,19,26
111,e,1111,123,19,26
112,r,1123,123,14,26
113,a,1130,123,19,26
114,n,1142,123,19,26
115,d,1154,123,19,26
116,o,1166,123,19,26
117, ,1178,123,7,26
118,s,1184,123,18,26
119,u,1195,123,19,26
120,a,1207,123,19,26
121,s,1219,123,18,26
122, ,1230,123,7,26
123,c,3,148,18,26
124,a,14,148,19,26
125,r,26,148,14,26
126,a,33,148,19,26
127,c,45,148,18,26
128,t,56,148,13,26
129,e,62,148,19,26
130,r,74,148,14,26
131,í,81,148,12,26
132,s,86,148,18,26
133,t,97,148,13,26
134,i,103,148,12,26
135,c,108,148,18,26
136,a,119,148,19,26
137,s,131,148,18,26
138, ,142,148,7,26
139,s,148,148,18,26
140,o,159,148,19,26
141,c,171,148,18,26
142,i,182,148,12,26
143,o,187,148,19,26
144,e,199,148,19,26
145,c,211,148,18,26
146,o,222,148,19,26
147,n,234,148,19,26
148,ô,246,148,19,26
149,m,258,148,25,26
150,i,275,148,12,26
151,c,280,148,18,26
152,a,291,148,19,26
153,s,303,148,18,26
154, ,314,148,7,26
155,e,320,148,19,26
156, ,332,148,7,26
