Time,Value,TT,Win,WinU,WinD,Block,X,Y,Dur,WinR,Xl,Yl,Xr,Yr,pl,pr,Cursor,CursorU,CursorR,CursorD,Width,Height,Type,Text,event_type
0,START,,,,,,,,,,,,,,,,,,,,,,,,System
30,,0,2,2,2,1,678,488,249,,,,,,,,,,,,,,,,Fix
31,,0,2,2,2,,,,,2,679,492,701,477,2.982,3.031,0,,,,,,,,Eye
47,,16,2,2,2,,,,,2,680,477,694,481,2.958,3.079,0,,,,,,,,Eye
62,,33,2,2,2,,,,,2,692,483,674,488,2.933,3.105,0,,,,,,,,Eye
78,,49,2,2,2,,,,,2,677,483,671,493,2.946,3.087,0,,,,,,,,Eye
93,,66,2,2,2,,,,,2,669,504,686,489,2.97,3.05,0,,,,,,,,Eye
109,,83,2,2,2,,,,,2,682,475,668,498,2.92,3.088,0,,,,,,,,Eye
125,,99,2,2,2,,,,,2,697,476,676,492,2.903,3.09,0,,,,,,,,Eye
140,,116,2,2,2,,,,,2,673,507,670,489,2.968,3.107,0,,,,,,,,Eye
171,,133,2,2,2,,,,,2,672,504,674,481,2.955,3.075,0,,,,,,,,Eye
187,,149,2,2,2,,,,,2,690,493,671,491,2.935,3.095,0,,,,,,,,Eye
203,,166,2,2,2,,,,,2,677,503,679,481,2.947,3.055,0,,,,,,,,Eye
218,,183,2,2,2,,,,,2,673,504,668,484,2.951,3.097,0,,,,,,,,Eye
234,,199,2,2,2,,,,,2,682,484,670,487,2.903,3.079,0,,,,,,,,Eye
249,,216,2,2,2,,,,,2,678,494,669,489,2.936,3.06,0,,,,,,,,Eye
265,,233,2,2,2,,,,,2,685,490,689,485,2.929,3.072,0,,,,,,,,Eye
279,,233,2,,,,,,,,,,,,,,,,,,,,,,Fix
280,,249,2,2,2,1,553,439,117,,,,,,,,,,,,,,,,Fix
281,,249,2,2,2,,,,,2,574,452,608,439,2.963,3.07,0,,,,,,,,Eye
296,,266,2,2,2,,,,,2,549,430,539,444,2.946,3.132,0,,,,,,,,Eye
312,,283,2,2,2,,,,,2,554,448,552,444,2.971,3.088,0,,,,,,,,Eye
327,,299,2,2,2,,,,,2,544,430,535,454,2.96,3.137,0,,,,,,,,Eye
343,,316,2,2,2,,,,,2,562,430,549,437,2.932,3.13,0,,,,,,,,Eye
359,,333,2,2,2,,,,,2,553,421,538,438,2.959,3.116,0,,,,,,,,Eye
374,,349,2,2,2,,,,,2,550,435,549,450,3.003,3.148,0,,,,,,,,Eye
403,,349,2,,,,,,,,,,,,,,,,,,,,,,Fix
405,,366,2,2,2,,,,,2,551,365,554,354,2.834,2.965,0,,,,,,,,Eye
421,,382,2,2,2,,,,,2,557,426,556,410,2.883,2.892,0,,,,,,,,Eye
437,,399,0,,,,,,,,-1283,-995,-1283,-995,-1,-1,0,,,,,,,,Eye
452,,416,2,1,2,,,,,2,474,225,486,234,2.984,3.09,0,134,,,,,,,Eye
467,,432,2,,2,1,455,151,134,,,,,,,,,,,,,,,,Fix
468,,432,2,1,2,,,,,2,442,139,448,160,2.967,3.146,0,134,,,,,,,Eye
483,,449,2,1,2,,,,,2,451,143,459,168,2.981,3.143,0,134,,,,,,,Eye
499,,466,2,1,2,,,,,2,451,131,451,158,2.937,3.103,0,134,,,,,,,Eye
