Cursor,Value,X,Y,Width,Height
0,"
",3,27,7,26
1,I,3,52,13,26
2,d,9,52,19,26
3,i,20,52,12,26
4,o,25,52,19,26
5,m,37,52,25,26
6,a,53,52,19,26
7,:,65,52,13,26
8, ,71,52,7,26
9,p,77,52,19,26
10,o,88,52,19,26
11,r,100,52,14,26
12,t,107,52,13,26
13,u,113,52,19,26
14,g,124,52,19,26
15,u,135,52,19,26
16,ê,146,52,19,26
17,s,158,52,18,26
18,.,169,52,13,26
19, ,175,52,7,26
20,P,181,52,21,26
21,a,195,52,19,26
22,r,207,52,14,26
23,á,214,52,19,26
24,g,226,52,19,26
25,r,237,52,14,26
26,a,244,52,19,26
27,f,256,52,13,26
28,o,262,52,19,26
29, ,274,52,7,26
30,ú,280,52,19,26
31,n,291,52,19,26
32,i,302,52,12,26
33,c,307,52,18,26
34,o,318,52,19,26
35,",",330,52,13,26
36, ,336,52,7,26
37,m,342,52,25,26
38,í,358,52,12,26
39,n,364,52,19,26
40,i,375,52,12,26
41,m,380,52,25,26
42,o,396,52,19,26
43, ,408,52,7,26
44,d,414,52,19,26
45,e,425,52,19,26
46, ,437,52,7,26
47,1,443,52,19,26
48,0,455,52,19,26
49,0,467,52,19,26
50, ,479,52,7,26
51,(,485,52,14,26
52,a,492,52,19,26
53,p,504,52,19,26
54,r,515,52,14,26
55,o,522,52,19,26
56,x,534,52,18,26
57,.,544,52,13,26
58, ,550,52,7,26
59,6,556,52,19,26
60, ,568,52,7,26
61,l,574,52,12,26
62,i,578,52,12,26
63,n,583,52,19,26
64,h,594,52,19,26
65,a,605,52,19,26
66,s,617,52,18,26
67,),628,52,14,26
68, ,635,52,7,26
69,e,641,52,19,26
70, ,653,52,7,26
71,m,659,52,25,26
72,á,675,52,19,26
73,x,687,52,18,26
74,i,697,52,12,26
75,m,702,52,25,26
76,o,718,52,19,26
77, ,730,52,7,26
78,d,736,52,19,26
79,e,747,52,19,26
80, ,759,52,7,26
81,2,765,52,19,26
82,5,777,52,19,26
83,0,789,52,19,26
84, ,801,52,7,26
85,p,807,52,19,26
86,a,818,52,19,26
87,l,830,52,12,26
88,a,834,52,19,26
89,v,846,52,18,26
90,r,857,52,14,26
91,a,864,52,19,26
92,s,876,52,18,26
93, ,887,52,7,26
94,(,893,52,14,26
95,a,900,52,19,26
96,p,912,52,19,26
97,r,923,52,14,26
98,o,930,52,19,26
99,x,942,52,18,26
100,.,952,52,13,26
101, ,958,52,7,26
102,1,964,52,19,26
103,3,976,52,19,26
104, ,988,52,7,26
105,l,994,52,12,26
106,i,998,52,12,26
107,n,1003,52,19,26
108,h,1014,52,19,26
109,a,1025,52,19,26
110,s,1037,52,18,26
111,),1048,52,14,26
112,.,1055,52,13,26
113, ,1061,52,7,26
114,N,1067,52,22,26
115,ã,1081,52,19,26
116,o,1093,52,19,26
117, ,1105,52,7,26
118,c,1111,52,18,26
119,o,1122,52,19,26
120,l,1134,52,12,26
121,o,1138,52,19,26
122,c,1150,52,18,26
123,a,1161,52,19,26
124,r,1173,52,14,26
125, ,1180,52,7,26
126,t,1186,52,13,26
127,í,1192,52,12,26
128,t,1198,52,13,26
129,u,1204,52,19,26
130,l,1215,52,12,26
131,o,1219,52,19,26
132,",",1231,52,13,26
133, ,1237,52,7,26
134,r,3,76,14,26
135,e,10,76,19,26
136,f,22,76,13,26
137,e,28,76,19,26
138,r,40,76,14,26
139,ê,47,76,19,26
140,n,59,76,19,26
141,c,70,76,18,26
142,i,81,76,12,26
143,a,86,76,19,26
144,s,98,76,18,26
145,/,109,76,13,26
146,c,115,76,18,26
147,i,126,76,12,26
148,t,131,76,13,26
149,a,137,76,19,26
150,ç,149,76,18,26
151,õ,160,76,19,26
152,e,172,76,19,26
153,s,184,76,18,26
154, ,195,76,7,26
155,o,201,76,19,26
156,u,213,76,19,26
157, ,224,76,7,26
158,p,230,76,19,26
159,a,241,76,19,26
160,l,253,76,12,26
161,a,257,76,19,26
162,v,269,76,18,26
163,r,280,76,14,26
164,a,287,76,19,26
165,s,299,76,18,26
166,-,310,76,14,26
167,c,317,76,18,26
168,h,328,76,19,26
169,a,339,76,19,26
170,v,351,76,18,26
171,e,362,76,19,26
172,.,374,76,13,26
173, ,380,76,7,26
174,I,386,76,13,26
175,n,392,76,19,26
176,c,403,76,18,26
177,l,414,76,12,26
178,u,418,76,19,26
179,i,429,76,12,26
180,r,434,76,14,26
181, ,441,76,7,26
182,o,447,76,19,26
183,b,459,76,19,26
184,j,470,76,12,26
185,e,474,76,19,26
186,t,486,76,13,26
187,i,492,76,12,26
188,v,497,76,18,26
189,o,508,76,19,26
190,s,520,76,18,26
191,",",531,76,13,26
192, ,537,76,7,26
193,m,543,76,25,26
194,é,559,76,19,26
195,t,571,76,13,26
196,o,577,76,19,26
197,d,589,76,19,26
198,o,600,76,19,26
199,s,612,76,18,26
200,",",623,76,13,26
201, ,629,76,7,26
202,r,635,76,14,26
203,e,642,76,19,26
204,s,654,76,18,26
205,u,665,76,19,26
206,l,676,76,12,26
207,t,680,76,13,26
208,a,686,76,19,26
209,d,698,76,19,26
210,o,709,76,19,26
211,s,721,76,18,26
212, ,732,76,7,26
213,(,738,76,14,26
214,p,745,76,19,26
215,r,756,76,14,26
216,e,763,76,19,26
217,l,775,76,12,26
218,i,779,76,12,26
